,Venue,City,Country,Date,Year,Setlist,State
39,Memorial Auditorium,Sacramento,USA,1972-08-12,1972,"['promised land', 'sugaree', 'me and my uncle', 'bird song', 'black throated wind', 'deal', 'el paso', 'tennessee jed', 'playing in the band', 'big railroad blues', 'cumberland blues', 'stella blue', 'jack straw', 'casey jones', 'greatest story ever told', 'ramble on rose', 'beat it on down the line', ""he's gone"", 'drums', 'the other one', 'black peter', 'the other one', ""truckin'"", 'mississippi half-step', 'sugar magnolia', 'one more saturday night']",CA
40,Civic Auditorium,San Jose,USA,1972-08-20,1972,"['bertha', 'me and my uncle', 'sugaree', 'beat it on down the line', 'bird song', 'jack straw', 'friend of the devil', 'black throated wind', 'cumberland blues', 'el paso', 'loser', 'playing in the band', 'promised land', 'brown eyed women', 'me and bobby mcgee', ""truckin'"", 'drums', 'the other one', 'stella blue', 'sugar magnolia', 'casey jones', 'one more saturday night', ""uncle john's band""]",CA
41,Berkeley Community Theatre,Berkeley,USA,1972-08-21,1972,"['promised land', ""he's gone"", 'black throated wind', 'jack straw', 'china cat sunflower', 'i know you rider', 'me and my uncle', 'sugaree', 'beat it on down the line', 'stella blue', 'playing in the band', 'brown eyed women', 'mexicali blues', 'casey jones', 'greatest story ever told', 'ramble on rose', 'dark star', 'el paso', 'dark star', 'deal', 'sugar magnolia', 'mississippi half-step', ""uncle john's band"", 'one more saturday night']",CA
42,Berkeley Community Theatre,Berkeley,USA,1972-08-22,1972,"['bertha', 'greatest story ever told', 'loser', 'black throated wind', 'friend of the devil', 'big river', 'bird song', 'beat it on down the line', 'tennessee jed', 'me and my uncle', ""he's gone"", 'playing in the band', 'promised land', 'brown eyed women', 'mexicali blues', ""truckin'"", 'drums', 'the other one', 'stella blue', 'el paso', 'ramble on rose', 'not fade away', ""goin' down the road feeling bad"", 'hey bo diddley', 'not fade away']",CA
43,Berkeley Community Theatre,Berkeley,USA,1972-08-24,1972,"['promised land', 'sugaree', 'jack straw', 'china cat sunflower', 'i know you rider', 'me and my uncle', 'bird song', 'beat it on down the line', 'tennessee jed', 'playing in the band', 'casey jones', 'mississippi half-step', 'mexicali blues', 'brown eyed women', ""truckin'"", 'dark star', 'morning dew', 'sugar magnolia', 'sing me back home', 'one more saturday night', ""uncle john's band""]",CA
44,Berkeley Community Theatre,Berkeley,USA,1972-08-25,1972,"['cold rain and snow', 'black throated wind', ""he's gone"", 'beat it on down the line', 'loser', 'frozen logger', 'el paso']",CA
45,Old Renaissance Faire Grounds,Veneta,USA,1972-08-27,1972,"['promised land', 'sugaree', 'me and my uncle', 'deal', 'black throated wind', 'china cat sunflower', 'i know you rider', 'mexicali blues', 'bertha', 'playing in the band', ""he's gone"", 'jack straw', 'bird song', 'greatest story ever told', 'dark star', 'el paso', 'sing me back home', 'sugar magnolla', 'casey jones']",OR
46,"Folsom Field, University of Colorado",Boulder,USA,1972-09-03,1972,"['promised land', 'sugaree', 'me and my uncle', 'tennessee jed', 'black throated wind', 'bird song', 'beat it on down the line', 'mississippi half-step', 'playing in the band', 'casey jones', 'bertha', 'el paso', 'brown eyed women', 'mexicali blues', 'china cat sunflower', 'i know you rider', ""truckin'"", 'loser', ""he's gone"", 'the other one', 'wharf rat', 'johnny b. goode', 'cold rain and snow', 'sugar magnolia', 'deal', 'jack straw', 'ramble on rose', 'rockin pneumonia', 'not fade away', ""goin' down the road feeling bad"", 'not fade away']",CO
47,Hollywood Palladium,Hollywood,USA,1972-09-09,1972,"['promised land', 'sugaree', 'me and my uncle', 'bird song', 'black throated wind', 'tennessee jed', 'mexicali blues', 'deal', 'playing in the band', 'loser', 'johnny b. goode', 'china cat sunflower', 'i know you rider', 'friend of the devil', 'jack straw', ""he's gone"", ""truckin'"", 'the other one', 'stella blue', 'el paso', 'casey jones', 'sugar magnolia', 'one more saturday night']",CA
48,Hollywood Palladium,Hollywood,USA,1972-09-10,1972,"['bertha', 'greatest story ever told', 'mississippi half-step', 'black throated wind', 'bird song', 'promised land', 'deal', 'el paso', 'sugaree', 'playing in the band', 'casey jones', ""he's gone"", ""truckin'"", 'ramble on rose', 'beat it on down the line', 'dark star', 'drums', 'jack straw', 'sing me back home', 'sugar magnolia', 'one more saturday night']",CA
